"""Leeftijd""","""Beroepen en specialismen""","""Sociaaleconomische categorie""","""Perioden""","""Regio's""","""Medisch geschoolden (aantal)"""
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Zuid-Holland (PV)""",2560
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Zeeland (PV)""",205
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Noord-Brabant (PV)""",1620
"""Totaal leeftijd""","""Arts"," huisartsgeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Limburg (PV)""",820
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Groningen (PV)""",65
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Fryslân (PV)""",50
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Drenthe (PV)""",50
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Overijssel (PV)""",95
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Flevoland (PV)""",15
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Gelderland (PV)""",245
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Utrecht (PV)""",155
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Noord-Holland (PV)""",250
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Zuid-Holland (PV)""",360
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Zeeland (PV)""",30
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Noord-Brabant (PV)""",210
"""Totaal leeftijd""","""Arts"," ouderengeneeskunde""","""Werknemer of zelfstandige""","""2020*""","""Limburg (PV)""",120
