"﻿""Perioden""","""Regio's""","""Bevolking aan het begin van de periode (aantal)""","""Levend geboren kinderen (aantal)""","""Overledenen (aantal)""","""Vertrek uit de gemeente/Vertrek naar andere gemeente (aantal)""","""Bevolkingsgroei/Bevolkingsgroei, relatief (%)"""
"""2020""","""Bronckhorst""",36055,254,425,1356,"0,09"
"""2021*""","""Bronckhorst""",36087,242,436,1239,"-0,03"
"""2019""","""Brummen""",20698,161,222,857,"0,14"
"""2020""","""Brummen""",20726,167,225,852,"0,76"
"""2021*""","""Brummen""",20884,145,237,885,"0,02"
"""2019""","""Brunssum""",28103,203,331,1432,-1
"""2020""","""Brunssum""",27821,192,392,1327,"-0,54"
"""2021*""","""Brunssum""",27670,202,410,1297,"0,02"
"""2019""","""Bunnik""",15192,139,98,771,"-0,01"
"""2020""","""Bunnik""",15191,132,130,778,"0,99"
"""2021*""","""Bunnik""",15341,146,140,739,"1,64"
"""2019""","""Bunschoten""",21576,295,136,494,"1,34"
"""2020""","""Bunschoten""",21866,271,197,438,"0,7"
"""2021*""","""Bunschoten""",22019,287,156,479,"1,41"
"""2019""","""Buren""",26568,221,213,1262,"0,68"
"""2020""","""Buren""",26749,253,251,1339,"0,97"
"""2021*""","""Buren""",27009,266,278,1241,"0,58"
"""2019""","""Bussum""",,,,,
"""2020""","""Bussum""",,,,,
"""2021*""","""Bussum""",,,,,
"""2019""","""Capelle aan den IJssel""",66818,652,609,3649,"0,45"
"""2020""","""Capelle aan den IJssel""",67122,658,715,3869,"0,29"
"""2021*""","""Capelle aan den IJssel""",67319,700,689,4054,"-0,2"
"""2019""","""Castricum""",35772,298,339,1180,"0,6"
"""2020""","""Castricum""",35986,307,384,1458,"0,28"
"""2021*""","""Castricum""",36086,322,359,1315,"0,45"
"""2019""","""Coevorden""",35483,296,408,1759,"-0,52"
"""2020""","""Coevorden""",35297,284,448,1628,"0,06"
"""2021*""","""Coevorden""",35317,292,460,1580,"0,56"
"""2019""","""Cranendonck""",20440,152,187,2152,"3,41"
"""2020""","""Cranendonck""",21138,186,249,3852,"-0,65"
"""2021*""","""Cranendonck""",21001,150,248,5118,"-1,59"
"""2019""","""Cromstrijen""",,,,,
"""2020""","""Cromstrijen""",,,,,
"""2021*""","""Cromstrijen""",,,,,
"""2019""","""Cuijk""",24931,202,216,862,"0,8"
"""2020""","""Cuijk""",25130,218,279,881,"1,09"
"""2021*""","""Cuijk""",25404,242,241,805,"1,07"
"""2019""","""Culemborg""",28555,279,249,1205,"1,4"
"""2020""","""Culemborg""",28955,287,238,1210,"0,57"
"""2021*""","""Culemborg""",29121,369,258,1199,"0,91"
"""2019""","""Dalfsen""",28499,266,223,967,"0,31"
"""2020""","""Dalfsen""",28587,263,267,954,"1,1"
"""2021*""","""Dalfsen""",28901,277,264,877,"0,89"
"""2019""","""Dantumadeel""",,,,,
"""2020""","""Dantumadeel""",,,,,
"""2021*""","""Dantumadeel""",,,,,
"""2019""","""Dantumadiel""",18923,184,201,772,"-0,01"
"""2020""","""Dantumadiel""",18922,183,202,705,"0,11"
"""2021*""","""Dantumadiel""",18943,162,271,652,"0,1"
"""2019""","""Delft""",103163,922,728,7376,"0,42"
"""2020""","""Delft""",103595,879,812,7549,"-0,01"
"""2021*""","""Delft""",103581,922,793,8265,"0,92"
"""2019""","""Delfzijl""",24716,222,305,1329,"-0,15"
"""2020""","""Delfzijl""",24678,187,331,1239,"-0,33"
"""2021*""","""Delfzijl""",,,,,
"""2019""","""Denekamp""",,,,,
"""2020""","""Denekamp""",,,,,
"""2021*""","""Denekamp""",,,,,
"""2019""","""Deurne""",32362,314,301,943,"0,34"
"""2020""","""Deurne""",32471,293,357,962,"-0,1"
"""2021*""","""Deurne""",32437,317,375,945,"0,51"
"""2019""","""Deventer""",99957,946,940,3787,"0,76"
"""2020""","""Deventer""",100719,965,1034,3993,"0,51"
"""2021*""","""Deventer""",101236,977,956,4136,"0,18"
"""2019""","""Didam""",,,,,
"""2020""","""Didam""",,,,,
"""2021*""","""Didam""",,,,,
"""2019""","""Diemen""",29196,322,220,2621,"5,43"
"""2020""","""Diemen""",30780,332,249,3300,"1,8"
"""2021*""","""Diemen""",31334,353,237,3631,"1,55"
"""2019""","""Dijk en Waard""",,,,,
"""2020""","""Dijk en Waard""",,,,,
"""2021*""","""Dijk en Waard""",,,,,
"""2019""","""Dinkelland""",26350,224,245,643,"0,42"
"""2020""","""Dinkelland""",26461,275,302,675,"0,55"
"""2021*""","""Dinkelland""",26606,254,285,733,"-0,06"
"""2019""","""Dinxperlo""",,,,,
"""2020""","""Dinxperlo""",,,,,
"""2021*""","""Dinxperlo""",,,,,
"""2019""","""Dirksland""",,,,,
"""2020""","""Dirksland""",,,,,
"""2021*""","""Dirksland""",,,,,
"""2019""","""Doesburg""",11148,65,94,528,"-0,64"
"""2020""","""Doesburg""",11077,73,149,600,"-0,12"
"""2021*""","""Doesburg""",11064,66,140,514,"-0,27"
"""2019""","""Doetinchem""",57555,535,556,2203,"0,77"
"""2020""","""Doetinchem""",58001,470,598,2182,"0,46"
"""2021*""","""Doetinchem""",58270,549,652,2089,"0,48"
"""2019""","""Dongen""",26051,255,257,826,"0,66"
"""2020""","""Dongen""",26222,257,296,961,"0,56"
"""2021*""","""Dongen""",26368,269,314,822,"0,41"
"""2019""","""Dongeradeel""",,,,,
"""2020""","""Dongeradeel""",,,,,
"""2021*""","""Dongeradeel""",,,,,
"""2019""","""Doorn""",,,,,
"""2020""","""Doorn""",,,,,
"""2021*""","""Doorn""",,,,,
"""2019""","""Dordrecht""",118654,1190,1093,4147,"0,53"
"""2020""","""Dordrecht""",119284,1169,1269,4786,"-0,14"
"""2021*""","""Dordrecht""",119115,1322,1309,4700,"0,33"
"""2019""","""Drechterland""",19597,172,148,925,"0,62"
"""2020""","""Drechterland""",19719,201,171,926,"0,6"
"""2021*""","""Drechterland""",19838,202,162,843,"0,71"
"""2019""","""Driebergen-Rijsenburg""",,,,,
"""2020""","""Driebergen-Rijsenburg""",,,,,
"""2021*""","""Driebergen-Rijsenburg""",,,,,
"""2019""","""Drimmelen""",27150,228,241,890,"0,45"
"""2020""","""Drimmelen""",27272,209,282,934,"0,19"
"""2021*""","""Drimmelen""",27325,232,255,885,"0,54"
"""2019""","""Dronten""",40815,395,299,2146,"1,81"
"""2020""","""Dronten""",41555,412,333,2225,"1,1"
"""2021*""","""Dronten""",42011,454,335,2308,"2,12"
"""2019""","""Druten""",18797,165,145,776,"0,69"
"""2020""","""Druten""",18926,153,156,826,"0,34"
"""2021*""","""Druten""",18991,204,182,683,"0,98"
"""2019""","""Duiven""",25332,207,193,1270,"-0,81"
"""2020""","""Duiven""",25126,203,209,1215,"-0,24"
"""2021*""","""Duiven""",25066,214,220,1184,"-0,49"
"""2019""","""Echt""",,,,,
"""2020""","""Echt""",,,,,
"""2021*""","""Echt""",,,,,
"""2019""","""Echt-Susteren""",31638,227,366,1345,"-0,09"
"""2020""","""Echt-Susteren""",31610,230,384,1250,"0,45"
"""2021*""","""Echt-Susteren""",31751,250,425,1349,"-0,04"
"""2019""","""Edam-Volendam""",36099,313,303,761,"0,27"
"""2020""","""Edam-Volendam""",36197,292,347,774,"0,2"
"""2021*""","""Edam-Volendam""",36268,373,317,809,"0,54"
"""2019""","""Ede""",115710,1377,924,4427,"1,26"
"""2020""","""Ede""",117165,1421,981,4475,"1,17"
"""2021*""","""Ede""",118530,1515,1068,4485,"1,24"
"""2019""","""Eemnes""",9113,72,74,416,"1,47"
"""2020""","""Eemnes""",9247,93,59,478,"1,24"
"""2021*""","""Eemnes""",9362,97,86,464,"0,93"
"""2019""","""Eemsdelta""",,,,,
"""2020""","""Eemsdelta""",,,,,
"""2021*""","""Eemsdelta""",45587,414,642,1836,"-0,32"
"""2019""","""Eemsmond""",,,,,
"""2020""","""Eemsmond""",,,,,
"""2021*""","""Eemsmond""",,,,,
"""2019""","""Eersel""",19110,156,167,676,"1,06"
"""2020""","""Eersel""",19313,167,203,694,"1,11"
"""2021*""","""Eersel""",19528,218,188,717,"1,51"
"""2019""","""Eibergen""",,,,,
"""2020""","""Eibergen""",,,,,
"""2021*""","""Eibergen""",,,,,
"""2019""","""Eijsden""",,,,,
"""2020""","""Eijsden""",,,,,
"""2021*""","""Eijsden""",,,,,
"""2019""","""Eijsden-Margraten""",25658,245,234,1113,"0,43"
"""2020""","""Eijsden-Margraten""",25768,252,295,1156,"0,51"
"""2021*""","""Eijsden-Margraten""",25900,243,266,1071,"-0,17"
"""2019""","""Eindhoven""",231642,2275,1993,12695,"1,19"
"""2020""","""Eindhoven""",234394,2183,2232,13347,"0,55"
"""2021*""","""Eindhoven""",235691,2401,2216,13610,"1,11"
"""2019""","""Elburg""",23086,255,212,887,"0,32"
"""2020""","""Elburg""",23161,240,231,948,"1,16"
"""2021*""","""Elburg""",23429,260,216,827,"1,32"
"""2019""","""Emmen""",107113,896,1173,3066,"-0,06"
"""2020""","""Emmen""",107048,901,1244,2911,"-0,02"
"""2021*""","""Emmen""",107024,915,1339,2741,"0,78"
"""2019""","""Enkhuizen""",18507,170,162,786,"0,45"
"""2020""","""Enkhuizen""",18591,197,207,828,"0,25"
"""2021*""","""Enkhuizen""",18637,177,196,853,"-0,09"
"""2019""","""Enschede""",158986,1396,1540,6061,"0,41"
"""2020""","""Enschede""",159640,1299,1631,6136,"0,06"
"""2021*""","""Enschede""",159732,1375,1620,6010,"0,52"
"""2019""","""Epe""",33145,256,345,1076,"0,1"
"""2020""","""Epe""",33178,295,396,1205,"0,06"
"""2021*""","""Epe""",33198,318,385,1176,"0,19"
"""2019""","""Ermelo""",26858,267,298,1369,"0,56"
"""2020""","""Ermelo""",27008,214,331,1275,"0,03"
"""2021*""","""Ermelo""",27016,247,328,1190,"0,9"
"""2019""","""Etten-Leur""",43774,432,396,1598,"0,24"
"""2020""","""Etten-Leur""",43878,376,421,1638,"-0,02"
"""2021*""","""Etten-Leur""",43869,423,404,1488,"0,64"
"""2019""","""Ferwerderadiel""",,,,,
"""2020""","""Ferwerderadiel""",,,,,
"""2021*""","""Ferwerderadiel""",,,,,
"""2019""","""Franekeradeel""",,,,,
"""2020""","""Franekeradeel""",,,,,
"""2021*""","""Franekeradeel""",,,,,
"""2019""","""De Friese Meren""",,,,,
"""2020""","""De Friese Meren""",,,,,
"""2021*""","""De Friese Meren""",,,,,
"""2019""","""De Fryske Marren""",51430,482,468,1859,"0,26"
"""2020""","""De Fryske Marren""",51564,483,496,1868,"0,42"
"""2021*""","""De Fryske Marren""",51778,502,584,2296,"-0,35"
"""2019""","""Gaasterlân-Sleat""",,,,,
"""2020""","""Gaasterlân-Sleat""",,,,,
"""2021*""","""Gaasterlân-Sleat""",,,,,
"""2019""","""Geertruidenberg""",21515,182,214,762,"0,13"
"""2020""","""Geertruidenberg""",21544,178,211,777,"1,05"
"""2021*""","""Geertruidenberg""",21770,223,237,774,"0,83"
"""2019""","""Geldermalsen""",,,,,
"""2020""","""Geldermalsen""",,,,,
"""2021*""","""Geldermalsen""",,,,,
"""2019""","""Geldrop""",,,,,
"""2020""","""Geldrop""",,,,,
"""2021*""","""Geldrop""",,,,,
"""2019""","""Geldrop-Mierlo""",39595,367,393,1721,"0,33"
"""2020""","""Geldrop-Mierlo""",39726,371,403,1759,"0,86"
"""2021*""","""Geldrop-Mierlo""",40066,407,391,1868,"0,12"
"""2019""","""Gemert-Bakel""",30447,287,246,990,"0,91"
"""2020""","""Gemert-Bakel""",30723,275,278,1041,"0,12"
"""2021*""","""Gemert-Bakel""",30760,352,271,1037,"0,9"
"""2019""","""Gendringen""",,,,,
"""2020""","""Gendringen""",,,,,
"""2021*""","""Gendringen""",,,,,
"""2019""","""Gennep""",17071,96,173,738,"-0,88"
"""2020""","""Gennep""",16921,122,200,625,"0,67"
"""2021*""","""Gennep""",17035,119,196,537,"1,23"
"""2019""","""Giessenlanden""",,,,,
"""2020""","""Giessenlanden""",,,,,
"""2021*""","""Giessenlanden""",,,,,
"""2019""","""Gilze en Rijen""",26431,246,210,2088,0
"""2020""","""Gilze en Rijen""",26431,257,222,3385,"1,1"
"""2021*""","""Gilze en Rijen""",26723,257,256,4483,"-0,49"
"""2019""","""Goedereede""",,,,,
"""2020""","""Goedereede""",,,,,
"""2021*""","""Goedereede""",,,,,
"""2019""","""Goeree-Overflakkee""",49611,508,525,1176,"0,88"
"""2020""","""Goeree-Overflakkee""",50049,473,558,1136,"1,08"
"""2021*""","""Goeree-Overflakkee""",50589,502,535,1116,"0,9"
"""2019""","""Goes""",37653,327,413,1648,"1,14"
"""2020""","""Goes""",38082,346,441,1396,"1,34"
"""2021*""","""Goes""",38594,345,490,1326,"0,92"
"""2019""","""Goirle""",23793,200,207,982,"0,47"
"""2020""","""Goirle""",23904,209,260,1103,"0,2"
"""2021*""","""Goirle""",23952,206,238,1069,"0,14"
"""2019""","""Gooise Meren""",57715,523,548,3138,"0,59"
"""2020""","""Gooise Meren""",58055,506,660,3410,"0,81"
"""2021*""","""Gooise Meren""",58524,604,620,3457,"0,55"
"""2019""","""Gorinchem""",36682,356,339,1462,"0,93"
"""2020""","""Gorinchem""",37022,401,335,1444,"1,05"
"""2021*""","""Gorinchem""",37410,393,383,1581,"0,57"
"""2019""","""Gorssel""",,,,,
"""2020""","""Gorssel""",,,,,
"""2021*""","""Gorssel""",,,,,
"""2019""","""Gouda""",73181,798,696,3056,"0,34"
"""2020""","""Gouda""",73427,756,780,3385,"0,35"
"""2021*""","""Gouda""",73681,812,728,3188,"0,61"
"""2019""","""Graafstroom""",,,,,
"""2020""","""Graafstroom""",,,,,
"""2021*""","""Graafstroom""",,,,,
"""2019""","""Graft-De Rijp""",,,,,
"""2020""","""Graft-De Rijp""",,,,,
"""2021*""","""Graft-De Rijp""",,,,,
"""2019""","""Grave""",12483,104,124,856,"-0,38"
"""2020""","""Grave""",12436,102,167,910,"0,4"
"""2021*""","""Grave""",12486,97,150,1085,"-0,11"
"""2019""","""'s-Gravendeel""",,,,,
"""2020""","""'s-Gravendeel""",,,,,
