Subject,Predicate,Object
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-65-and-older-2021,28816.0
s-Hertogenbosch,hasNumberOfPeopleInAgeGroup-80-and-older-2019Until2021,6411.0
s-Hertogenbosch,hasNumberOfPeopleInAgeGroupYoungerThanFive-avg-2019Until2021,7574.333333333333
s-Hertogenbosch,hasNumberOfResidentsInCareInstitutions-avg,2063.3333333333335
s-Hertogenbosch,hasNumberOfRespiratorySystemDisease-avg-2019Until2021,78.18010752688171
s-Hertogenbosch,hasNumberOfUnmarried-2021,79612.0
s-Hertogenbosch,hasNumberOfWidowed-2021,7368.0
s-Hertogenbosch,hasNumberOfWomen-2021,78599.0
s-Hertogenbosch,hasNumberOfWomen-avg,78369.33333333333
s-Hertogenbosch,hasNumberOfWomen-avg-2019Until2021,78369.33333333333
s-Hertogenbosch,hasNumberOfWomenInAgeGroup-20-65-avg,47365.666666666664
s-Hertogenbosch,hasNumberOfWomenInAgeGroup-65-75-avg,8471.333333333334
s-Hertogenbosch,hasNumberOfWomenInAgeGroup-75-85-avg,4714.333333333333
s-Hertogenbosch,hasNumberOfWomenInAgeGroup-85-and-older-avg,2009.6666666666667
s-Hertogenbosch,hasNumberOfWomenInAgeGroupYoungerThanTwenty-avg,15808.333333333334
s-Hertogenbosch,hasOtherCausesOfDeath-avg-2019Until2021,375.18279569892474
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,0-15-years",3.458367451381781
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,15-25-years",4.699999999999999
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,25-35-years",5.35
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,35-45-years",1.9500000000000002
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,45-55-years",1.25
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,55-65-years",5.0
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,65-75-years",6.95
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,75-years-or-older",2.0
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,0-15-years",7.25
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,15-25-years",2.7
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,25-35-years",4.3
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,35-45-years",8.25
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,45-55-years",3.6
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,55-65-years",1.0
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,65-75-years",7.800000000000001
s-Hertogenbosch,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,75-years-or-older",8.95
s-Hertogenbosch,hasPopulationAtBeginningOfThePeriod-avg-2019Until2021,154935.33333333334
s-Hertogenbosch,hasPopulationDensityPerSquareKm-2021,1414.0
s-Hertogenbosch,hasPopulationGrowth-avg-percentage-2019Until2021,0.49666666666666665
s-Hertogenbosch,hasPopulationSize-2021,155490.0
s-Hertogenbosch,hasPopulationSize-avg-2019Until2021,154935.33333333334
s-Hertogenbosch,hasRelativeBirthSurplus-avg-x1000-2019Until2021,0.21505376344086016
s-Hertogenbosch,hasRelativeNumberOfBirth-avg-x1000-2019Until2021,9.579301075268818
s-Hertogenbosch,hasRelativeNumberOfDeath-avg-x1000-2019Until2021,9.362365591397849
s-Hertogenbosch,hasRelativePeopleInAgeGroup-10-15-avg-percentage-2019Until2021,5.2
s-Hertogenbosch,hasRelativePeopleInAgeGroup-15-20-avg-percentage-2019Until2021,5.5
s-Hertogenbosch,hasRelativePeopleInAgeGroup-20-25-avg-percentage-2019Until2021,6.133333333333333
s-Hertogenbosch,hasRelativePeopleInAgeGroup-25-45-avg-percentage-2019Until2021,26.900000000000002
s-Hertogenbosch,hasRelativePeopleInAgeGroup-45-65-avg-percentage-2019Until2021,28.0
s-Hertogenbosch,hasRelativePeopleInAgeGroup-5-10-avg-percentage-2019Until2021,5.2
s-Hertogenbosch,hasRelativePeopleInAgeGroup-65-80-avg-percentage-2019Until2021,14.033333333333333
s-Hertogenbosch,hasRelativePeopleInAgeGroup-80-and-older-avg-percentage-2019Until2021,4.133333333333333
s-Hertogenbosch,hasRelativePeopleInAgeGroupYoungerThanFive-avg-percentage-2019Until2021,4.866666666666666
s-Hertogenbosch,hasRelativePopulationGrowth-avg-x1000-2019Until2021,4.827956989247312
s-Hertogenbosch,hasTotalAllUnderlyingCausesOfDeath-avg-2018Until2020,1391.6666666666667
s-Hertogenbosch,hasTotalDemographicPressure-avg-percentage-2019Until2021,63.79999999999999
Aa-en-Hunze,"donorRegisterValues-avg-x1000-2019Until2021,inDonorRegister",12.733333333333334
Aa-en-Hunze,"donorRegisterValues-avg-x1000-2019Until2021,notInDonorRegister",10.066666666666668
Aa-en-Hunze,"donorRegisterValues-avg-x1000-2019Until2021,total",22.8
Aa-en-Hunze,"hasAdmissions-x1000-2019,Men,0-years",874.0
Aa-en-Hunze,"hasAdmissions-x1000-2019,Men,1-20-years",77.0
Aa-en-Hunze,"hasAdmissions-x1000-2019,Men,20-45-years",48.0
Aa-en-Hunze,"hasAdmissions-x1000-2019,Men,45-65-years",560.0
Aa-en-Hunze,"hasAdmissions-x1000-2019,Men,65-80-years",429.0
Aa-en-Hunze,"hasAdmissions-x1000-2019,Men,80-years-or-older",947.0
Aa-en-Hunze,"hasAdmissions-x1000-2019,Women,0-years",154.0
Aa-en-Hunze,"hasAdmissions-x1000-2019,Women,1-20-years",99.0
Aa-en-Hunze,"hasAdmissions-x1000-2019,Women,20-45-years",24.0
Aa-en-Hunze,"hasAdmissions-x1000-2019,Women,45-65-years",361.0
Aa-en-Hunze,"hasAdmissions-x1000-2019,Women,65-80-years",98.0
Aa-en-Hunze,"hasAdmissions-x1000-2019,Women,80-years-or-older",560.0
Aa-en-Hunze,hasBirthSurplus-avg-2019Until2021,-104.34722222222223
Aa-en-Hunze,hasDeceased-avg-2019Until2021,279.3333333333333
Aa-en-Hunze,hasDepartureToAnotherMunicipality-avg-2019Until2021,1294.0
Aa-en-Hunze,hasDiseasesOfTheCardiovascularSystem-avg-2018Until2020,80.66666666666667
Aa-en-Hunze,hasDiseasesOfTheRespiratorySystem-avg-2018Until2020,15.333333333333334
Aa-en-Hunze,hasDistanceToGPPractice-avg-km-2019Until2021,2.1805555555555554
Aa-en-Hunze,hasDistanceToGeneralPracticeCenter-avg-km-2019Until2021,10.136111111111111
Aa-en-Hunze,hasDistanceToHospital-avg-km-2019Until2021,10.794444444444444
Aa-en-Hunze,hasExternalCausesOfDeath-avg-2019Until2021,19.98611111111111
Aa-en-Hunze,hasGraduatesOfDoctorate-avg-2019Until2021,12.833333333333334
Aa-en-Hunze,hasGraduatesOfHigherVocationalEducation-avg-2019Until2021,91.27777777777779
Aa-en-Hunze,hasGraduatesOfPost-SecondaryVocationalEducation-avg-2019Until2021,381.1666666666667
Aa-en-Hunze,hasGraduatesOfSecondaryEducation-avg-2019Until2021,416.61111111111114
Aa-en-Hunze,hasGreenDemographicPressure-avg-percentage-2019Until2021,36.36666666666667
Aa-en-Hunze,hasGreyDemographicPressure-avg-percentage-2019Until2021,49.300000000000004
Aa-en-Hunze,hasJobsInA-AgricultureForestryFishing-avg-percentage-2019Until2021,1.1944444444444444
Aa-en-Hunze,hasJobsInCommercialService-avg-percentage-2019Until2021,44.22222222222222
Aa-en-Hunze,hasJobsInIndustryEnergy-avg-percentage-2019Until2021,10.777777777777779
Aa-en-Hunze,hasJobsInNon-CommercialServe-avg-percentage-2019Until2021,43.375
Aa-en-Hunze,hasLiveBornChildren-avg-2019Until2021,180.33333333333334
Aa-en-Hunze,hasNewFormations-avg-2018Until2020,92.66666666666667
Aa-en-Hunze,hasNewFormations-avg-2019Until2021,106.98611111111113
Aa-en-Hunze,hasNumberOfBirth-avg-2019Until2021,228.84722222222226
Aa-en-Hunze,hasNumberOfCardiovascularDisease-avg-2019Until2021,92.77777777777777
Aa-en-Hunze,hasNumberOfDeath-avg-2019Until2021,333.1944444444444
Aa-en-Hunze,hasNumberOfDivorced-2021,1868.0
Aa-en-Hunze,hasNumberOfGPPracticesWithin3Km-avg-2019Until2021,1.5611111111111111
Aa-en-Hunze,hasNumberOfHospitalsWithin20Km-avg-2019Until2021,1.4111111111111112
Aa-en-Hunze,hasNumberOfMarried-2021,11732.0
Aa-en-Hunze,hasNumberOfMen-2021,12709.0
Aa-en-Hunze,hasNumberOfMen-avg,12692.0
Aa-en-Hunze,hasNumberOfMen-avg-2019Until2021,12692.0
Aa-en-Hunze,hasNumberOfMenInAgeGroup-20-65-avg,6875.0
Aa-en-Hunze,hasNumberOfMenInAgeGroup-65-75-avg,1995.0
Aa-en-Hunze,hasNumberOfMenInAgeGroup-75-85-avg,974.0
Aa-en-Hunze,hasNumberOfMenInAgeGroup-85-and-older-avg,241.0
Aa-en-Hunze,hasNumberOfMenInAgeGroupYoungerThanTwenty-avg,2607.0
Aa-en-Hunze,hasNumberOfMinorities-avg,281.6666666666667
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-0-15-2021,3383.0
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-10-15-avg-2019Until2021,1343.0
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-15-20-avg-2019Until2021,1544.0
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-15-25-2021,2611.0
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-20-25-avg-2019Until2021,1071.0
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-25-45-2021,4463.0
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-25-45-avg-2019Until2021,4395.0
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-45-65-2021,8060.0
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-45-65-avg-2019Until2021,8221.0
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-5-10-avg-2019Until2021,1157.0
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-65-80-avg-2019Until2021,5179.333333333333
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-65-and-older-2021,6882.0
Aa-en-Hunze,hasNumberOfPeopleInAgeGroup-80-and-older-2019Until2021,1564.6666666666667
Aa-en-Hunze,hasNumberOfPeopleInAgeGroupYoungerThanFive-avg-2019Until2021,935.0
Aa-en-Hunze,hasNumberOfResidentsInCareInstitutions-avg,510.0
Aa-en-Hunze,hasNumberOfRespiratorySystemDisease-avg-2019Until2021,20.777777777777775
Aa-en-Hunze,hasNumberOfUnmarried-2021,10191.0
Aa-en-Hunze,hasNumberOfWidowed-2021,1608.0
Aa-en-Hunze,hasNumberOfWomen-2021,12690.0
Aa-en-Hunze,hasNumberOfWomen-avg,12718.0
Aa-en-Hunze,hasNumberOfWomen-avg-2019Until2021,12718.0
Aa-en-Hunze,hasNumberOfWomenInAgeGroup-20-65-avg,6812.0
Aa-en-Hunze,hasNumberOfWomenInAgeGroup-65-75-avg,1974.0
Aa-en-Hunze,hasNumberOfWomenInAgeGroup-75-85-avg,1090.6666666666667
Aa-en-Hunze,hasNumberOfWomenInAgeGroup-85-and-older-avg,469.3333333333333
Aa-en-Hunze,hasNumberOfWomenInAgeGroupYoungerThanTwenty-avg,2372.0
Aa-en-Hunze,hasOtherCausesOfDeath-avg-2019Until2021,92.66666666666667
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,0-15-years",4.532189973614775
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,15-25-years",5.949999999999999
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,25-35-years",2.5
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,35-45-years",5.3
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,45-55-years",7.8
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,55-65-years",8.9
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,65-75-years",2.6
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,75-years-or-older",0.7000000000000001
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,0-15-years",7.5
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,15-25-years",3.55
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,25-35-years",3.85
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,35-45-years",5.1
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,45-55-years",9.350000000000001
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,55-65-years",5.85
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,65-75-years",4.65
Aa-en-Hunze,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Women,75-years-or-older",8.7
Aa-en-Hunze,hasPopulationAtBeginningOfThePeriod-avg-2019Until2021,25410.0
Aa-en-Hunze,hasPopulationDensityPerSquareKm-2021,92.0
Aa-en-Hunze,hasPopulationGrowth-avg-percentage-2019Until2021,0.24666666666666667
Aa-en-Hunze,hasPopulationSize-2021,25399.0
Aa-en-Hunze,hasPopulationSize-avg-2019Until2021,25410.0
Aa-en-Hunze,hasRelativeBirthSurplus-avg-x1000-2019Until2021,-3.6916666666666664
Aa-en-Hunze,hasRelativeNumberOfBirth-avg-x1000-2019Until2021,7.212500000000001
Aa-en-Hunze,hasRelativeNumberOfDeath-avg-x1000-2019Until2021,10.902777777777779
Aa-en-Hunze,hasRelativePeopleInAgeGroup-10-15-avg-percentage-2019Until2021,5.3
Aa-en-Hunze,hasRelativePeopleInAgeGroup-15-20-avg-percentage-2019Until2021,6.066666666666666
Aa-en-Hunze,hasRelativePeopleInAgeGroup-20-25-avg-percentage-2019Until2021,4.2
Aa-en-Hunze,hasRelativePeopleInAgeGroup-25-45-avg-percentage-2019Until2021,17.3
Aa-en-Hunze,hasRelativePeopleInAgeGroup-45-65-avg-percentage-2019Until2021,32.333333333333336
Aa-en-Hunze,hasRelativePeopleInAgeGroup-5-10-avg-percentage-2019Until2021,4.566666666666666
Aa-en-Hunze,hasRelativePeopleInAgeGroup-65-80-avg-percentage-2019Until2021,20.366666666666667
Aa-en-Hunze,hasRelativePeopleInAgeGroup-80-and-older-avg-percentage-2019Until2021,6.166666666666667
Aa-en-Hunze,hasRelativePeopleInAgeGroupYoungerThanFive-avg-percentage-2019Until2021,3.6666666666666665
Aa-en-Hunze,hasRelativePopulationGrowth-avg-x1000-2019Until2021,1.2666666666666666
Aa-en-Hunze,hasTotalAllUnderlyingCausesOfDeath-avg-2018Until2020,279.0
Aa-en-Hunze,hasTotalDemographicPressure-avg-percentage-2019Until2021,85.66666666666667
Aalburg,"hasAdmissions-x1000-2019,Men,0-years",378.4495289367429
Aalburg,"hasAdmissions-x1000-2019,Men,1-20-years",378.4495289367429
Aalburg,"hasAdmissions-x1000-2019,Men,20-45-years",378.4495289367429
Aalburg,"hasAdmissions-x1000-2019,Men,45-65-years",378.4495289367429
Aalburg,"hasAdmissions-x1000-2019,Men,65-80-years",378.4495289367429
Aalburg,"hasAdmissions-x1000-2019,Men,80-years-or-older",378.4495289367429
Aalburg,"hasAdmissions-x1000-2019,Women,0-years",378.4495289367429
Aalburg,"hasAdmissions-x1000-2019,Women,1-20-years",378.4495289367429
Aalburg,"hasAdmissions-x1000-2019,Women,20-45-years",378.4495289367429
Aalburg,"hasAdmissions-x1000-2019,Women,45-65-years",378.4495289367429
Aalburg,"hasAdmissions-x1000-2019,Women,65-80-years",378.4495289367429
Aalburg,"hasAdmissions-x1000-2019,Women,80-years-or-older",378.4495289367429
Aalburg,hasBirthSurplus-avg-2019Until2021,-20.717741935483872
Aalburg,hasDeceased-avg-2019Until2021,405.8324324324324
Aalburg,hasDepartureToAnotherMunicipality-avg-2019Until2021,1743.5189189189189
Aalburg,hasDiseasesOfTheCardiovascularSystem-avg-2018Until2020,68.43262411347517
Aalburg,hasDiseasesOfTheRespiratorySystem-avg-2018Until2020,23.170212765957444
Aalburg,hasDistanceToGPPractice-avg-km-2019Until2021,1.206451612903226
Aalburg,hasDistanceToGeneralPracticeCenter-avg-km-2019Until2021,8.374193548387098
Aalburg,hasDistanceToHospital-avg-km-2019Until2021,9.121774193548386
Aalburg,hasExternalCausesOfDeath-avg-2019Until2021,21.137096774193548
Aalburg,hasGraduatesOfDoctorate-avg-2019Until2021,68.61290322580645
Aalburg,hasGraduatesOfHigherVocationalEducation-avg-2019Until2021,178.56451612903228
Aalburg,hasGraduatesOfPost-SecondaryVocationalEducation-avg-2019Until2021,350.3225806451613
Aalburg,hasGraduatesOfSecondaryEducation-avg-2019Until2021,454.6451612903226
Aalburg,hasGreenDemographicPressure-avg-percentage-2019Until2021,36.77945945945946
Aalburg,hasGreyDemographicPressure-avg-percentage-2019Until2021,38.06594594594595
Aalburg,hasJobsInA-AgricultureForestryFishing-avg-percentage-2019Until2021,3.2177419354838706
Aalburg,hasJobsInCommercialService-avg-percentage-2019Until2021,47.00806451612903
Aalburg,hasJobsInIndustryEnergy-avg-percentage-2019Until2021,21.120967741935484
Aalburg,hasJobsInNon-CommercialServe-avg-percentage-2019Until2021,28.64516129032258
Aalburg,hasLiveBornChildren-avg-2019Until2021,390.8
Aalburg,hasNewFormations-avg-2018Until2020,85.04609929078013
Aalburg,hasNewFormations-avg-2019Until2021,114.85483870967742
Aalburg,hasNumberOfBirth-avg-2019Until2021,378.0
Aalburg,hasNumberOfCardiovascularDisease-avg-2019Until2021,91.63709677419355
Aalburg,hasNumberOfDeath-avg-2019Until2021,398.71774193548384
Aalburg,hasNumberOfGPPracticesWithin3Km-avg-2019Until2021,3.523387096774193
Aalburg,hasNumberOfHospitalsWithin20Km-avg-2019Until2021,3.0241935483870974
Aalburg,hasNumberOfMen-avg,20814.183783783785
Aalburg,hasNumberOfMen-avg-2019Until2021,20814.183783783785
Aalburg,hasNumberOfMenInAgeGroup-20-65-avg,12388.983783783784
Aalburg,hasNumberOfMenInAgeGroup-65-75-avg,2383.389189189189
Aalburg,hasNumberOfMenInAgeGroup-75-85-avg,1243.8756756756757
Aalburg,hasNumberOfMenInAgeGroup-85-and-older-avg,321.4432432432432
Aalburg,hasNumberOfMenInAgeGroupYoungerThanTwenty-avg,4476.491891891892
Aalburg,hasNumberOfMinorities-avg,2510.2972972972975
Aalburg,hasNumberOfPeopleInAgeGroup-10-15-avg-2019Until2021,2214.7837837837837
Aalburg,hasNumberOfPeopleInAgeGroup-15-20-avg-2019Until2021,2466.881081081081
Aalburg,hasNumberOfPeopleInAgeGroup-20-25-avg-2019Until2021,2563.6324324324323
Aalburg,hasNumberOfPeopleInAgeGroup-25-45-avg-2019Until2021,9997.2
Aalburg,hasNumberOfPeopleInAgeGroup-45-65-avg-2019Until2021,11809.627027027027
Aalburg,hasNumberOfPeopleInAgeGroup-5-10-avg-2019Until2021,2083.7513513513513
Aalburg,hasNumberOfPeopleInAgeGroup-65-80-avg-2019Until2021,6393.664864864865
Aalburg,hasNumberOfPeopleInAgeGroup-80-and-older-2019Until2021,2032.8054054054055
Aalburg,hasNumberOfPeopleInAgeGroupYoungerThanFive-avg-2019Until2021,1960.410810810811
Aalburg,hasNumberOfResidentsInCareInstitutions-avg,533.7297297297297
Aalburg,hasNumberOfRespiratorySystemDisease-avg-2019Until2021,28.540322580645164
Aalburg,hasNumberOfWomen-avg,20708.572972972972
Aalburg,hasNumberOfWomen-avg-2019Until2021,20708.572972972972
Aalburg,hasNumberOfWomenInAgeGroup-20-65-avg,11981.475675675676
Aalburg,hasNumberOfWomenInAgeGroup-65-75-avg,2414.854054054054
Aalburg,hasNumberOfWomenInAgeGroup-75-85-avg,1458.3405405405404
Aalburg,hasNumberOfWomenInAgeGroup-85-and-older-avg,604.5675675675676
Aalburg,hasNumberOfWomenInAgeGroupYoungerThanTwenty-avg,4249.335135135135
Aalburg,hasOtherCausesOfDeath-avg-2019Until2021,142.5483870967742
Aalburg,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,0-15-years",4.916734902763562
Aalburg,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,15-25-years",4.916734902763562
Aalburg,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,25-35-years",4.916734902763562
Aalburg,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,35-45-years",4.916734902763562
Aalburg,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,45-55-years",4.916734902763562
Aalburg,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,55-65-years",4.916734902763562
Aalburg,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,65-75-years",4.916734902763562
Aalburg,"hasPersonsWithMedicines-avg-percentage-2019Until2020,Men,75-years-or-older",4.916734902763562
