"Perioden";"Regio's";"Totaal alle onderliggende doodsoorzaken (aantal)";"Nieuwvormingen (aantal)";"Ziekten van hart en vaatstelsel (aantal)";"Ziekten van ademhalingsstelsel (aantal)"
"2019";"Brederwiede";;;;
"2020";"Brederwiede";;;;
"2018";"Breukelen";;;;
"2019";"Breukelen";;;;
"2020";"Breukelen";;;;
"2018";"Brielle";144;51;31;11
"2019";"Brielle";159;42;23;16
"2020";"Brielle";158;43;41;7
"2018";"Broekhuizen";;;;
"2019";"Broekhuizen";;;;
"2020";"Broekhuizen";;;;
"2018";"Bronckhorst";371;114;105;38
"2019";"Bronckhorst";351;110;106;35
"2020";"Bronckhorst";425;133;97;27
"2018";"Brouwershaven";;;;
"2019";"Brouwershaven";;;;
"2020";"Brouwershaven";;;;
"2018";"Bruinisse";;;;
"2019";"Bruinisse";;;;
"2020";"Bruinisse";;;;
"2018";"Brummen";221;63;66;20
"2019";"Brummen";222;62;54;28
"2020";"Brummen";225;66;50;20
"2018";"Brunssum";397;107;110;37
"2019";"Brunssum";331;109;72;22
"2020";"Brunssum";392;89;101;23
"2018";"Budel";;;;
"2019";"Budel";;;;
"2020";"Budel";;;;
"2018";"Bunnik";113;40;27;9
"2019";"Bunnik";98;36;22;6
"2020";"Bunnik";130;51;24;6
"2018";"Bunschoten";129;52;35;12
"2019";"Bunschoten";136;51;37;8
"2020";"Bunschoten";197;53;34;14
"2018";"Buren";186;77;36;13
"2019";"Buren";213;86;46;18
"2020";"Buren";251;95;47;9
"2018";"Bussum";;;;
"2019";"Bussum";;;;
"2020";"Bussum";;;;
"2018";"Capelle aan den IJssel";617;191;144;51
"2019";"Capelle aan den IJssel";609;208;141;45
"2020";"Capelle aan den IJssel";715;165;137;38
"2018";"Castricum";352;111;91;37
"2019";"Castricum";339;99;93;27
"2020";"Castricum";384;110;94;23
"2018";"Chaam";;;;
"2019";"Chaam";;;;
"2020";"Chaam";;;;
"2018";"Coevorden";415;119;111;48
"2019";"Coevorden";408;116;115;30
"2020";"Coevorden";448;143;105;38
"2018";"Cranendonck";204;49;59;23
"2019";"Cranendonck";187;52;45;20
"2020";"Cranendonck";249;63;60;13
"2018";"Cromstrijen";111;30;26;11
"2019";"Cromstrijen";;;;
"2020";"Cromstrijen";;;;
"2018";"Cuijk";219;72;45;21
"2019";"Cuijk";216;77;60;18
"2020";"Cuijk";279;88;60;23
"2018";"Culemborg";248;69;64;16
"2019";"Culemborg";249;71;59;23
"2020";"Culemborg";238;69;46;17
"2018";"Dalen";;;;
"2019";"Dalen";;;;
"2020";"Dalen";;;;
"2018";"Dalfsen";222;64;56;16
"2019";"Dalfsen";223;73;68;13
"2020";"Dalfsen";267;78;66;10
"2018";"Dantumadeel";;;;
"2019";"Dantumadeel";;;;
"2020";"Dantumadeel";;;;
"2018";"Dantumadiel";234;69;61;23
"2019";"Dantumadiel";201;58;53;14
"2020";"Dantumadiel";202;51;51;18
"2018";"Delft";780;251;198;87
"2019";"Delft";728;232;159;71
"2020";"Delft";812;232;167;48
"2018";"Delfzijl";344;98;93;37
"2019";"Delfzijl";305;87;71;22
"2020";"Delfzijl";331;86;105;17
"2018";"Denekamp";;;;
"2019";"Denekamp";;;;
"2020";"Denekamp";;;;
"2018";"Deurne";305;92;70;37
"2019";"Deurne";301;95;78;33
"2020";"Deurne";357;90;72;28
"2018";"Deventer";901;262;242;97
"2019";"Deventer";940;290;209;93
"2020";"Deventer";1034;286;235;67
"2018";"Didam";;;;
"2019";"Didam";;;;
"2020";"Didam";;;;
"2018";"Diemen";179;53;42;22
"2019";"Diemen";220;67;57;19
"2020";"Diemen";249;70;55;13
"2018";"Diepenheim";;;;
"2019";"Diepenheim";;;;
"2020";"Diepenheim";;;;
"2018";"Diepenveen";;;;
"2019";"Diepenveen";;;;
"2020";"Diepenveen";;;;
"2018";"Diessen";;;;
"2019";"Diessen";;;;
"2020";"Diessen";;;;
"2018";"Diever";;;;
"2019";"Diever";;;;
"2020";"Diever";;;;
"2018";"Dinkelland";243;60;54;33
"2019";"Dinkelland";245;58;89;17
"2020";"Dinkelland";302;75;63;23
"2018";"Dinteloord en Prinsenland";;;;
"2019";"Dinteloord en Prinsenland";;;;
"2020";"Dinteloord en Prinsenland";;;;
"2018";"Dinxperlo";;;;
"2019";"Dinxperlo";;;;
"2020";"Dinxperlo";;;;
"2018";"Dirksland";;;;
"2019";"Dirksland";;;;
"2020";"Dirksland";;;;
"2018";"Dodewaard";;;;
"2019";"Dodewaard";;;;
"2020";"Dodewaard";;;;
"2018";"Doesburg";106;40;22;6
"2019";"Doesburg";94;34;17;8
"2020";"Doesburg";149;37;31;10
"2018";"Doetinchem";593;165;165;61
"2019";"Doetinchem";556;165;137;57
"2020";"Doetinchem";598;181;133;36
"2018";"Domburg";;;;
"2019";"Domburg";;;;
"2020";"Domburg";;;;
"2018";"Dongen";241;70;64;25
"2019";"Dongen";257;91;60;22
"2020";"Dongen";296;70;65;15
"2018";"Dongeradeel";241;82;60;26
"2019";"Dongeradeel";;;;
"2020";"Dongeradeel";;;;
"2018";"Doorn";;;;
"2019";"Doorn";;;;
"2020";"Doorn";;;;
"2018";"Dordrecht";1131;338;274;100
"2019";"Dordrecht";1093;308;265;102
"2020";"Dordrecht";1269;337;260;80
"2018";"Drechterland";144;44;33;20
"2019";"Drechterland";148;39;41;9
"2020";"Drechterland";171;54;32;11
"2018";"Driebergen-Rijsenburg";;;;
"2019";"Driebergen-Rijsenburg";;;;
"2020";"Driebergen-Rijsenburg";;;;
"2018";"Drimmelen";250;64;57;36
"2019";"Drimmelen";241;77;64;23
"2020";"Drimmelen";282;74;68;20
"2018";"Dronten";310;111;87;29
"2019";"Dronten";299;93;84;20
"2020";"Dronten";333;101;89;19
"2018";"Drunen";;;;
"2019";"Drunen";;;;
"2020";"Drunen";;;;
"2018";"Druten";166;55;48;10
"2019";"Druten";145;42;39;20
"2020";"Druten";156;43;32;8
"2018";"Duiveland";;;;
"2019";"Duiveland";;;;
"2020";"Duiveland";;;;
"2018";"Duiven";192;63;44;23
"2019";"Duiven";193;63;52;19
"2020";"Duiven";209;69;45;10
"2018";"Dussen";;;;
"2019";"Dussen";;;;
"2020";"Dussen";;;;
"2018";"Dwingeloo";;;;
"2019";"Dwingeloo";;;;
"2020";"Dwingeloo";;;;
"2018";"Echt";;;;
"2019";"Echt";;;;
"2020";"Echt";;;;
"2018";"Echteld";;;;
"2019";"Echteld";;;;
"2020";"Echteld";;;;
"2018";"Echt-Susteren";355;79;102;34
"2019";"Echt-Susteren";366;114;105;33
"2020";"Echt-Susteren";384;94;74;33
"2018";"Edam-Volendam";304;108;79;25
"2019";"Edam-Volendam";303;108;72;18
"2020";"Edam-Volendam";347;114;84;2
"2018";"Ede";915;273;235;79
"2019";"Ede";924;291;205;88
"2020";"Ede";981;259;227;70
"2018";"Eelde";;;;
"2019";"Eelde";;;;
"2020";"Eelde";;;;
"2018";"Eemnes";55;24;15;3
"2019";"Eemnes";74;23;28;2
"2020";"Eemnes";59;19;14;4
"2018";"Eemsmond";133;41;34;14
"2019";"Eemsmond";;;;
"2020";"Eemsmond";;;;
"2018";"Eersel";156;54;46;14
"2019";"Eersel";167;51;40;9
"2020";"Eersel";203;63;41;9
"2018";"Egmond";;;;
"2019";"Egmond";;;;
"2020";"Egmond";;;;
"2018";"Eibergen";;;;
"2019";"Eibergen";;;;
"2020";"Eibergen";;;;
"2018";"Eijsden";;;;
"2019";"Eijsden";;;;
"2020";"Eijsden";;;;
"2018";"Eijsden-Margraten";243;87;49;20
"2019";"Eijsden-Margraten";234;75;63;24
"2020";"Eijsden-Margraten";295;89;60;11
"2018";"Eindhoven";1987;587;462;194
"2019";"Eindhoven";1993;605;498;156
"2020";"Eindhoven";2232;570;493;138
"2018";"Elburg";192;54;52;21
"2019";"Elburg";212;66;68;16
"2020";"Elburg";231;63;59;14
"2018";"Elst";;;;
"2019";"Elst";;;;
"2020";"Elst";;;;
"2018";"Emmen";1188;378;337;112
"2019";"Emmen";1173;369;323;94
"2020";"Emmen";1244;393;317;80
"2018";"Enkhuizen";186;47;46;13
"2019";"Enkhuizen";162;48;40;11
"2020";"Enkhuizen";207;59;37;16
"2018";"Enschede";1448;419;383;157
"2019";"Enschede";1540;490;386;148
"2020";"Enschede";1631;449;358;116
"2018";"Epe";355;118;83;38
"2019";"Epe";345;127;90;24
"2020";"Epe";396;105;92;29
"2018";"Ermelo";326;90;83;33
"2019";"Ermelo";298;99;74;24
"2020";"Ermelo";331;74;75;21
"2018";"Etten-Leur";371;122;81;45
"2019";"Etten-Leur";396;125;98;30
"2020";"Etten-Leur";421;124;93;18
"2018";"Ferwerderadeel";;;;
"2019";"Ferwerderadeel";;;;
"2020";"Ferwerderadeel";;;;
"2018";"Ferwerderadiel";85;26;21;7
"2019";"Ferwerderadiel";;;;
"2020";"Ferwerderadiel";;;;
"2018";"Fijnaart en Heijningen";;;;
"2019";"Fijnaart en Heijningen";;;;
"2020";"Fijnaart en Heijningen";;;;
"2018";"Franekeradeel";;;;
"2019";"Franekeradeel";;;;
"2020";"Franekeradeel";;;;
"2018";"De Friese Meren";;;;
"2019";"De Friese Meren";;;;
"2020";"De Friese Meren";;;;
"2018";"De Fryske Marren";516;161;123;47
"2019";"De Fryske Marren";468;155;125;30
"2020";"De Fryske Marren";496;177;120;25
"2018";"Gaasterlân-Sleat";;;;
"2019";"Gaasterlân-Sleat";;;;
"2020";"Gaasterlân-Sleat";;;;
"2018";"Gasselte";;;;
"2019";"Gasselte";;;;
"2020";"Gasselte";;;;
"2018";"Geertruidenberg";208;68;54;26
"2019";"Geertruidenberg";214;72;55;17
"2020";"Geertruidenberg";211;63;55;11
"2018";"Geldermalsen";231;76;50;31
"2019";"Geldermalsen";;;;
"2020";"Geldermalsen";;;;
"2018";"Geldrop";;;;
"2019";"Geldrop";;;;
"2020";"Geldrop";;;;
"2018";"Geldrop-Mierlo";370;118;98;30
"2019";"Geldrop-Mierlo";393;123;118;31
"2020";"Geldrop-Mierlo";403;119;93;25
"2018";"Geleen";;;;
"2019";"Geleen";;;;
"2020";"Geleen";;;;
"2018";"Gemert";;;;
"2019";"Gemert";;;;
"2020";"Gemert";;;;
"2018";"Gemert-Bakel";254;76;85;27
"2019";"Gemert-Bakel";246;71;67;31
"2020";"Gemert-Bakel";278;70;57;19
"2018";"Gendringen";;;;
"2019";"Gendringen";;;;
"2020";"Gendringen";;;;
"2018";"Gendt";;;;
"2019";"Gendt";;;;
"2020";"Gendt";;;;
"2018";"Genemuiden";;;;
"2019";"Genemuiden";;;;
"2020";"Genemuiden";;;;
"2018";"Gennep";204;58;45;20
"2019";"Gennep";173;54;35;17
"2020";"Gennep";200;47;49;12
"2018";"Giessenlanden";92;37;23;4
"2019";"Giessenlanden";;;;
"2020";"Giessenlanden";;;;
"2018";"Gieten";;;;
"2019";"Gieten";;;;
"2020";"Gieten";;;;
"2018";"Gilze en Rijen";227;76;60;22
"2019";"Gilze en Rijen";210;64;48;16
"2020";"Gilze en Rijen";222;65;59;9
"2018";"Goedereede";;;;
"2019";"Goedereede";;;;
"2020";"Goedereede";;;;
"2018";"Goeree-Overflakkee";473;147;121;33
"2019";"Goeree-Overflakkee";525;152;128;50
"2020";"Goeree-Overflakkee";558;162;94;37
"2018";"Goes";448;120;117;39
"2019";"Goes";413;124;97;39
"2020";"Goes";441;132;112;26
"2018";"Goirle";207;74;58;11
"2019";"Goirle";207;67;54;18
"2020";"Goirle";260;70;60;21
"2018";"Gooise Meren";555;164;136;52
"2019";"Gooise Meren";548;178;137;33
"2020";"Gooise Meren";660;186;153;30
"2018";"Goor";;;;
"2019";"Goor";;;;
"2020";"Goor";;;;
"2018";"Gorinchem";330;105;73;25
"2019";"Gorinchem";339;112;76;22
"2020";"Gorinchem";335;92;84;18
"2018";"Gorssel";;;;
"2019";"Gorssel";;;;
"2020";"Gorssel";;;;
"2018";"Gouda";648;177;155;57
"2019";"Gouda";696;208;167;54
"2020";"Gouda";780;214;130;43
"2018";"Graafstroom";;;;
"2019";"Graafstroom";;;;
"2020";"Graafstroom";;;;
"2018";"Graft-De Rijp";;;;
"2019";"Graft-De Rijp";;;;
"2020";"Graft-De Rijp";;;;
"2018";"Gramsbergen";;;;
"2019";"Gramsbergen";;;;
"2020";"Gramsbergen";;;;
"2018";"Grave";119;27;27;8
"2019";"Grave";124;39;26;9
"2020";"Grave";167;40;27;10
"2018";"'s-Graveland";;;;
"2019";"'s-Graveland";;;;
"2020";"'s-Graveland";;;;
"2018";"'s-Gravendeel";;;;
"2019";"'s-Gravendeel";;;;
"2020";"'s-Gravendeel";;;;
"2018";"'s-Gravenhage (gemeente)";4228;1066;975;381
"2019";"'s-Gravenhage (gemeente)";4091;1144;922;356
"2020";"'s-Gravenhage (gemeente)";4539;1124;871;287
"2018";"'s-Gravenmoer";;;;
"2019";"'s-Gravenmoer";;;;
"2020";"'s-Gravenmoer";;;;
"2018";"'s-Gravenzande";;;;
"2019";"'s-Gravenzande";;;;
"2020";"'s-Gravenzande";;;;
"2018";"Groenlo";;;;
"2019";"Groenlo";;;;
"2020";"Groenlo";;;;
"2018";"Groesbeek";;;;
"2019";"Groesbeek";;;;
"2020";"Groesbeek";;;;
"2018";"Groningen (gemeente)";1345;445;341;105
"2019";"Groningen (gemeente)";1706;521;398;143
"2020";"Groningen (gemeente)";1805;554;417;120
"2018";"Grootegast";105;43;19;13
"2019";"Grootegast";;;;
"2020";"Grootegast";;;;
"2018";"Grubbenvorst";;;;
"2019";"Grubbenvorst";;;;
"2020";"Grubbenvorst";;;;
"2018";"Gulpen";;;;
"2019";"Gulpen";;;;
"2020";"Gulpen";;;;
"2018";"Gulpen-Wittem";183;54;50;16
"2019";"Gulpen-Wittem";160;50;46;14
"2020";"Gulpen-Wittem";213;62;47;11
"2018";"Haaksbergen";231;63;51;26
"2019";"Haaksbergen";243;85;54;16
"2020";"Haaksbergen";285;90;65;12
"2018";"Haaren";132;34;33;16
"2019";"Haaren";127;44;32;13
"2020";"Haaren";143;33;38;4
"2018";"Haarlem";1482;413;343;139
"2019";"Haarlem";1406;386;317;138
"2020";"Haarlem";1511;391;309;98
"2018";"Haarlemmerliede en Spaarnwoude";24;9;5;1
"2019";"Haarlemmerliede en Spaarnwoude";;;;
"2020";"Haarlemmerliede en Spaarnwoude";;;;
"2018";"Haarlemmermeer";1009;339;246;79
"2019";"Haarlemmermeer";1034;360;250;71
"2020";"Haarlemmermeer";1128;370;269;61
"2018";"Haelen";;;;
"2019";"Haelen";;;;
"2020";"Haelen";;;;
"2018";"Halderberge";311;99;70;40
"2019";"Halderberge";300;96;72;34
"2020";"Halderberge";348;94;88;26
"2018";"Halsteren";;;;
"2019";"Halsteren";;;;
"2020";"Halsteren";;;;
"2018";"Den Ham";;;;
"2019";"Den Ham";;;;
"2020";"Den Ham";;;;
"2018";"Hardenberg";537;174;126;52
"2019";"Hardenberg";472;141;123;44
"2020";"Hardenberg";526;160;115;34
"2018";"Harderwijk";367;121;97;28
"2019";"Harderwijk";382;118;96;33
"2020";"Harderwijk";403;124;93;12
"2018";"Hardinxveld-Giessendam";157;39;44;16
"2019";"Hardinxveld-Giessendam";176;50;50;13
"2020";"Hardinxveld-Giessendam";205;57;47;7
"2018";"Haren";247;58;65;18
"2019";"Haren";;;;
"2020";"Haren";;;;
"2018";"Harenkarspel";;;;
"2019";"Harenkarspel";;;;
"2020";"Harenkarspel";;;;
"2018";"Harlingen";169;53;44;21
"2019";"Harlingen";170;52;45;13
"2020";"Harlingen";185;51;47;17
"2018";"Harmelen";;;;
"2019";"Harmelen";;;;
"2020";"Harmelen";;;;
"2018";"Hasselt";;;;
"2019";"Hasselt";;;;
"2020";"Hasselt";;;;
"2018";"Hattem";115;36;29;10
"2019";"Hattem";129;56;32;13
"2020";"Hattem";124;39;31;8
"2018";"Havelte";;;;
"2019";"Havelte";;;;
"2020";"Havelte";;;;
"2018";"Hedel";;;;
"2019";"Hedel";;;;
"2020";"Hedel";;;;
"2018";"Heel";;;;
"2019";"Heel";;;;
"2020";"Heel";;;;
"2018";"Heemskerk";437;130;117;30
"2019";"Heemskerk";399;124;103;38
"2020";"Heemskerk";448;129;92;31
"2018";"Heemstede";318;85;83;19
"2019";"Heemstede";341;85;93;24
"2020";"Heemstede";403;111;86;28
"2018";"Heerde";201;56;52;24
"2019";"Heerde";245;75;54;24
"2020";"Heerde";260;54;52;18
"2018";"Heerenveen";562;157;151;59
"2019";"Heerenveen";494;167;128;34
"2020";"Heerenveen";547;157;136;44
"2018";"Heerewaarden";;;;
"2019";"Heerewaarden";;;;
"2020";"Heerewaarden";;;;
"2018";"Heerhugowaard";387;142;73;33
"2019";"Heerhugowaard";374;134;81;21
"2020";"Heerhugowaard";453;150;91;31
"2018";"Heerjansdam";;;;
"2019";"Heerjansdam";;;;
